game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
1,13,G,3,7,420,put,1,2,Z,Y,Y,random,,,,,,,13,420,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=1,direction1=Z,direction2=Y,down_direction=Y",
1,14,F,3,6,312,put,2,2,Z,Y,,monte_carlo,24,1.0,13.3,1.0,1.0,0.0,14,312,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=Y",1.0
1,15,G,3,5,252,put,0,1,Z,Y,,random,,,,,,,15,252,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=Y",
1,16,F,3,4,170,put,0,0,Y,Z,,monte_carlo,24,1.0,13.3,1.0,1.0,0.0,16,170,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=3,direction1=Y,direction2=Z",
1,17,G,3,3,120,put,0,2,X,Y,,random,,,,,,,17,120,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=X,direction2=Y",
1,18,F,3,2,56,put,1,0,X,Y,,monte_carlo,24,1.0,12.5,1.0,1.0,0.0,18,56,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=1,direction1=X,direction2=Y",1.0
1,19,G,3,1,24,put,1,1,X,Y,,random,,,,,,,19,24,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=3,direction1=X,direction2=Y",0.0
2,1,F,1,9,649,put,1,2,Y,Z,,monte_carlo,24,0.95,3.2,0.95,0.8,0.1499999999999999,1,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=7,direction1=Y,direction2=Z",
2,2,G,1,8,577,put,0,1,Y,Z,,random,,,,,,,2,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=7,direction1=Y,direction2=Z",
2,3,F,1,7,463,put,2,1,Z,Y,,monte_carlo,24,0.95,3.4,0.95,0.8,0.1499999999999999,3,463,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=7,direction1=Z,direction2=Y",
2,4,G,1,6,397,put,2,2,X,Z,,random,,,,,,,4,397,1.0,0.5,0.0,0.5,1.0,"put,x=2,y=2,piece_index=8,direction1=X,direction2=Z",
2,5,F,1,5,301,put,1,0,X,Y,,monte_carlo,24,0.9,4.5,0.9,0.9,0.0,5,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=3,direction1=X,direction2=Y",0.5
2,6,G,1,4,241,put,2,0,X,Z,,random,,,,,,,6,241,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=5,direction1=X,direction2=Z",
2,7,F,1,3,163,put,1,1,Z,Y,,monte_carlo,24,0.95,3.9,0.95,0.95,0.0,7,163,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=5,direction1=Z,direction2=Y",
2,8,G,1,2,109,put,0,2,Z,Y,,random,,,,,,,8,109,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=7,direction1=Z,direction2=Y",
