game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
2,18,2,F,25,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=1,direction1=X,direction2=Z,down_direction=X",1.0
2,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X,down_direction=X",
2,20,3,F,140,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=X",
2,21,3,G,180,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Z,down_direction=X",
2,22,3,F,50,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=X,direction2=Z",
2,23,3,G,80,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=Z,down_direction=Y",
2,24,3,G,32,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=X,direction2=Y",
3,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=1,direction1=Z,direction2=X",
3,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=7,direction1=X,direction2=Z",
3,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=6,direction1=X,direction2=Y",
3,4,1,G,397,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=1,direction1=Z,direction2=Y",
3,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=8,direction1=Z,direction2=X",
3,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=6,direction1=Z,direction2=Y",
3,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=X",
3,8,1,G,109,0.75,0.75,0.0,0.0,0.75,"put,x=0,y=2,piece_index=4,direction1=Z,direction2=Y",
3,9,1,F,49,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=6,direction1=Z,direction2=X",
3,10,2,F,547,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=1,direction1=X,direction2=Z",
3,11,2,G,560,0.25,0.25,0.0,0.0,0.25,"put,x=0,y=0,piece_index=4,direction1=Z,direction2=Y,down_direction=Y",
3,12,2,F,361,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=0,piece_index=4,direction1=Y,direction2=Z",
3,13,2,G,350,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=Y",
3,14,2,F,211,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=X",
3,15,2,G,192,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=5,direction1=Y,direction2=Z",
3,16,2,F,89,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=2,direction1=Z,direction2=X",
3,17,2,G,70,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X",0.0
3,18,2,F,19,1.0,1.0,1.0,0.0,0.0,end_phase,1.0
3,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=2,direction1=Y,direction2=Z",
3,20,3,F,210,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=0,direction1=Y,direction2=Z",
3,21,3,G,180,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=2,piece_index=2,direction1=Z,direction2=Y,down_direction=Y",0.0
3,22,3,F,104,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=X,down_direction=X",
3,23,3,G,88,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=Y,direction2=Z,down_direction=Y",0.0
3,24,3,F,34,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=X,direction2=Z",1.0
3,25,3,G,26,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=0,direction1=X,direction2=Y",0.0
4,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=5,direction1=Y,direction2=X",
4,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=7,direction1=X,direction2=Y",
4,3,1,F,463,1.0,0.75,0.0,0.25,1.0,"put,x=2,y=2,piece_index=7,direction1=Y,direction2=X",
4,4,1,G,397,0.75,0.75,0.0,0.0,0.75,"put,x=1,y=1,piece_index=8,direction1=X,direction2=Z",
4,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=0,direction1=X,direction2=Y",
4,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=5,direction1=Z,direction2=Y",
4,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=2,direction1=Z,direction2=X",
4,8,1,G,109,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=5,direction1=Z,direction2=X",
4,9,1,F,49,0.75,0.5,0.0,0.25,0.75,"put,x=0,y=1,piece_index=4,direction1=X,direction2=Z",0.5
4,10,2,F,547,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=3,direction1=Z,direction2=X",
4,11,2,G,560,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=7,direction1=Z,direction2=Y",
4,12,2,F,373,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=2,direction1=X,direction2=Z",
4,13,2,G,364,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=3,direction1=X,direction2=Z",
4,14,2,F,221,1.0,1.0,0.25,0.0,0.75,"put,x=2,y=0,piece_index=4,direction1=X,direction2=Z,down_direction=X",
